condition,seed,basin,NSE
A_baseline,42,02125000,0.7236080467700958
A_baseline,42,02128000,0.5037972629070282
A_baseline,42,02137727,0.5892747342586517
A_baseline,42,02140991,0.4921512603759765
A_baseline,42,02143000,0.542466551065445
A_baseline,42,02143040,0.5291719138622284
A_baseline,42,02149000,0.4360054731369018
A_baseline,42,02152100,0.4728371500968933
A_baseline,42,02177000,0.4773218631744385
A_baseline,42,02178400,0.6020056903362274
A_baseline,42,03010655,0.8219851106405258
A_baseline,42,03011800,0.72829669713974
A_baseline,42,03015500,0.7933231741189957
A_baseline,42,03021350,0.6888746321201324
A_baseline,42,03026500,0.7667397707700729
A_baseline,42,03028000,0.7720380872488022
A_baseline,42,03049000,0.6854695677757263
A_baseline,42,03049800,0.4650964736938476
A_baseline,42,03050000,0.8081352561712265
A_baseline,42,03066000,0.6959387958049774
A_baseline,42,03069500,0.8395954668521881
A_baseline,42,03070500,0.7757079899311066
A_baseline,42,03076600,0.6662947833538055
A_baseline,42,03078000,0.724259078502655
A_baseline,42,03140000,0.7419878840446472
A_baseline,42,03144000,0.8046303540468216
A_baseline,42,03159540,0.7450926601886749
A_baseline,42,03161000,0.7108269929885864
A_baseline,42,03164000,0.7132998406887054
A_baseline,42,03165000,0.4933673143386841
A_baseline,42,03170000,0.7193010151386261
A_baseline,42,03173000,0.6709279716014862
A_baseline,42,03180500,0.7916303128004074
A_baseline,42,03182500,0.7620920836925507
A_baseline,42,03186500,0.753152072429657
A_baseline,42,03187500,0.7843013405799866
A_baseline,42,03213700,0.7471485435962677
A_baseline,42,03237280,0.4995501637458801
A_baseline,42,03237500,0.6101970076560974
A_baseline,42,03238500,0.6410711407661438
A_baseline,42,03241500,0.8424566686153412
A_baseline,42,03439000,0.6381084322929382
A_baseline,42,03450000,0.6001768410205841
A_baseline,42,03455500,0.5975081026554108
A_baseline,42,03456500,0.514581710100174
A_baseline,42,03460000,0.5590627789497375
A_baseline,42,03463300,0.6146852076053619
A_baseline,42,03471500,0.6050047278404236
A_baseline,42,03473000,0.651015430688858
A_baseline,42,03479000,0.5904825329780579
A_baseline,42,03488000,0.5520996153354645
A_baseline,42,03498500,0.7778043895959854
A_baseline,42,03500000,0.5962549448013306
A_baseline,42,03500240,0.4798603057861328
A_baseline,42,03504000,0.6888448297977448
A_baseline,42,04105700,-6.49521541595459
A_baseline,42,04115265,0.6198511123657227
A_baseline,42,04122200,0.7449420392513275
A_baseline,42,04185000,0.703324556350708
A_baseline,42,04196800,0.6919821202754974
A_baseline,42,04197100,0.4603975415229797
A_baseline,42,04197170,0.6748644411563873
A_baseline,42,04213000,0.6113697290420532
A_baseline,42,04213075,0.4541064500808716
A_baseline,42,04216418,0.6301741898059845
A_baseline,42,04221000,0.8065134286880493
A_baseline,42,04224775,0.7216935753822327
A_baseline,42,04233000,0.6884565353393555
A_baseline,42,04256000,0.7491010427474976
A_baseline,42,04296000,0.6445250511169434
B_topology_features,42,01030500,0.6394395478604068
B_topology_features,42,01031500,0.723768346124001
B_topology_features,42,01047000,0.7530703767119111
B_topology_features,42,01052500,0.7085128326969825
B_topology_features,42,01054200,0.5643396452001612
B_topology_features,42,01055000,0.6702823232552227
B_topology_features,42,01057000,0.7402362554141084
B_topology_features,42,01078000,0.7336040990880945
B_topology_features,42,01134500,0.6899191378948325
B_topology_features,42,01137500,0.6921986775910736
B_topology_features,42,01139000,0.7352453252783706
B_topology_features,42,01139800,0.7007535819787658
B_topology_features,42,01142500,0.6794089932410521
B_topology_features,42,01144000,0.681304753752045
B_topology_features,42,01169000,0.5676013156377859
B_topology_features,42,01181000,0.516020476166837
B_topology_features,42,01187300,0.6013899688249391
B_topology_features,42,01333000,0.5565868374191887
B_topology_features,42,01350000,0.626205776935146
B_topology_features,42,01350080,0.3829422128766787
B_topology_features,42,01350140,0.3347082651748875
