contrast,metric,seed,basin,delta
L_minus_G,NSE,13,03498500,0.07375179749231509
L_minus_G,NSE,13,02069700,0.024508305301952804
L_minus_G,NSE,13,03463300,-0.05633896031432939
L_minus_G,NSE,13,03173000,0.09779222180129787
L_minus_G,NSE,13,01532000,-0.015679413121277297
L_minus_G,NSE,13,03186500,0.05676618331599559
L_minus_G,NSE,13,03488000,-0.2854012090851994
L_minus_G,NSE,13,01557500,0.03176373067048954
L_minus_G,NSE,13,01658500,0.2093267143672436
L_minus_G,NSE,13,01596500,0.06576625391280144
L_minus_G,NSE,13,01644000,0.1108179742130766
L_minus_G,NSE,13,04213000,-0.10865653846590839
L_minus_G,NSE,13,01487000,-0.05385179340220003
L_minus_G,NSE,13,01669000,-0.15004916981251804
L_minus_G,NSE,13,01142500,0.09077377969717915
L_minus_G,NSE,13,04105700,-1.7671133311354383
L_minus_G,NSE,13,01413500,-0.10017561216790549
L_minus_G,NSE,13,01613050,-0.09580847343683452
L_minus_G,NSE,13,03076600,-0.0024119541796426835
L_minus_G,NSE,13,01423000,0.17882634791635077
L_minus_G,NSE,13,01411300,-0.018569897999738405
L_minus_G,NSE,13,01139800,0.11040311431940175
L_minus_G,NSE,13,01605500,0.06255579121562738
L_minus_G,NSE,13,03066000,-0.02412098451337452
L_minus_G,NSE,13,03069500,0.09772440586336806
L_minus_G,NSE,13,03473000,0.03858492392221258
L_minus_G,NSE,13,02081500,0.06254798893657165
L_minus_G,NSE,13,01634500,-0.08522533384541209
L_minus_G,NSE,13,01439500,0.0006710307844042251
L_minus_G,NSE,13,03070500,0.05790322612233001
L_minus_G,NSE,13,02143040,-0.05317284993860516
L_minus_G,NSE,13,01055000,0.04413541016899436
L_minus_G,NSE,13,02112360,0.021872903585556713
L_minus_G,NSE,13,01669520,0.04498812374505323
L_minus_G,NSE,13,03180500,-0.012254503980222653
L_minus_G,NSE,13,01638480,0.25934925647064955
L_minus_G,NSE,13,02053200,0.016361401595835323
L_minus_G,NSE,13,01169000,0.012631669087343478
L_minus_G,NSE,13,01350140,-0.2105165295833834
L_minus_G,NSE,13,01591400,-0.046592277705972185
L_minus_G,NSE,13,01586610,-0.028419508357375722
L_minus_G,NSE,13,01434025,0.12668889201058486
L_minus_G,NSE,13,03439000,0.027661036456807953
L_minus_G,NSE,13,02178400,-0.008434569482472898
L_minus_G,NSE,13,01664000,0.03261321391252192
L_minus_G,NSE,13,03015500,0.071278102567218
L_minus_G,NSE,13,04296000,-0.062404077199557095
L_minus_G,NSE,13,02112120,0.026285857383866573
L_minus_G,NSE,13,02082950,-0.20172596195941228
L_minus_G,NSE,13,01639500,0.16462652512063192
L_minus_G,NSE,13,01047000,0.08711349902107324
L_minus_G,NSE,13,02074500,0.06736691745985102
L_minus_G,NSE,13,01054200,0.03712765615069591
L_minus_G,NSE,13,02177000,0.03396894407590301
L_minus_G,NSE,13,03500240,-0.00277601588634524
L_minus_G,NSE,13,04233000,0.028237913556701244
L_minus_G,NSE,13,03237280,0.05773809208220715
L_minus_G,NSE,13,01548500,0.08718484558288342
L_minus_G,NSE,13,02125000,0.18078301984383038
L_minus_G,NSE,13,03479000,-0.057548246535448655
L_minus_G,NSE,13,02118500,0.08793376323929303
L_minus_G,NSE,13,01139000,-0.06998170466335807
L_minus_G,NSE,13,01187300,0.008190230297387413
L_minus_G,NSE,13,03504000,-0.014479062359270767
L_minus_G,NSE,13,02011400,0.03792444271432749
L_minus_G,NSE,13,01568000,0.07025719893550941
L_minus_G,NSE,13,01543500,0.06746946306744195
L_minus_G,NSE,13,01031500,0.07552231155522815
L_minus_G,NSE,13,01567500,-0.05155115494981466
