basin,L__NSE,L__KGE,L__logNSE,G__NSE,G__KGE,G__logNSE,G+T__NSE,G+T__KGE,G+T__logNSE,G+M__NSE,G+M__KGE,G+M__logNSE,G+T+M__NSE,G+T+M__KGE,G+T+M__logNSE
01586610,0.4434600248426794,0.663005461030026,0.6046306999395116,0.45362063374708067,0.5037219341367637,,0.4410135353787658,0.4949291490270225,,0.4521031435611273,0.6087048696687142,,0.4179661812082977,0.593325519257769,
01434025,0.5708162839065108,0.6238234278365252,0.7659418277183182,0.46111422074276326,0.4729647768557425,0.6341806756092817,0.46490903276676593,0.46710534103131396,0.6543355628497207,0.41710921301967513,0.4031756644933176,0.574290358578891,0.4036982670542901,0.41675361742622324,0.5900773275502135
03439000,0.6627678532760638,0.7701277035937076,0.6717398427111689,0.649861531946072,0.5042034886195578,0.3822034222071764,0.6490286282331327,0.46748043783992643,0.3513332664837723,0.6085160445496673,0.41482845775076255,0.2581051774384921,0.5970083531884697,0.4087940271361264,0.29628166947103957
02178400,0.6134327771328927,0.7007680586624309,0.6113707925325703,0.6260333664672303,0.5638684486786242,0.47482839737241084,0.6272910720845338,0.5360996982410667,0.4623270924821599,0.6140679947169208,0.49147376265338893,0.42808248440076807,0.6142325571770001,0.4865516149600448,0.4422139128474892
01664000,0.710798373345534,0.7000385454220027,0.5551164095078384,0.6327487043413608,0.6404267295401013,,0.649061066615069,0.665756040270821,,0.6615640809974673,0.6833925656154284,,0.658637771587452,0.6714574045303943,
03015500,0.7953114781941147,0.820166818422809,0.8613959928285583,0.7023909392214963,0.6191005148507348,0.6969847631939108,0.7051656868963138,0.7024797307500595,0.7121296015610197,0.7095215603873545,0.6456984507427727,0.6692860946020501,0.7019897377107917,0.6161514071022591,0.6869082990751912
04296000,0.5608182850492797,0.7743918567116076,0.7750895409575769,0.6306111171846213,0.3929160851107067,0.624144903867737,0.6445663407537346,0.38552301815995577,0.6304028979129126,0.6478880269975651,0.526981982316215,0.6138255771193449,0.6549377593772535,0.5104554101613087,0.6187015921581165
02112120,0.20950846603388837,0.4888688621342312,0.08770041316566424,0.12238942739834476,0.30583888019485134,,0.09528760779884764,0.2871230268738642,,0.18791286667175458,0.34207995503159055,,0.15305257538268968,0.34134323707781666,
02082950,0.42387918311855555,0.5418099105116697,0.3528389995259407,0.31023541210955524,0.6376494407599975,,0.46109090490706084,0.7043836762451714,,0.31165132881970947,0.6351068212651106,,0.35348962999610584,0.6663715320549387,
01639500,0.659431237006836,0.6870987912691294,0.6453165569902608,0.4972988276971863,0.5068168947649196,,0.4826534051477269,0.47055087045526994,,0.5444428682608077,0.6007723990938383,,0.5224661575188708,0.6176597801586476,
