condition,seed,basin,metric,value
L,11,04105700,NSE,0.23717002878453042
L,11,04105700,KGE,0.6118376435234709
L,11,04105700,logNSE,0.49550664845889447
L,11,04115265,NSE,0.6332822225941832
L,11,04115265,KGE,0.7604586946071971
L,11,04115265,logNSE,0.6942090069713622
L,11,04122200,NSE,0.7289143819782142
L,11,04122200,KGE,0.8113163471100786
L,11,04122200,logNSE,0.7727047685993096
L,11,04185000,NSE,0.766243450751999
L,11,04185000,KGE,0.8606554121735669
L,11,04185000,logNSE,0.6673203730711535
L,11,04196800,NSE,0.693279954336216
L,11,04196800,KGE,0.7858035971409602
L,11,04196800,logNSE,0.5585356835600663
L,11,04197100,NSE,0.457401777528018
L,11,04197100,KGE,0.6832235624348355
L,11,04197100,logNSE,0.7375666042440272
L,11,04197170,NSE,0.7238772113594109
L,11,04197170,KGE,0.8403005565349883
L,11,04197170,logNSE,0.5684995112822891
L,11,04213000,NSE,0.6652191987201682
L,11,04213000,KGE,0.7542665306630387
L,11,04213000,logNSE,0.7251536522388682
L,11,04213075,NSE,0.3946640558570944
L,11,04213075,KGE,0.38379015348943035
L,11,04213075,logNSE,0.5769656522528424
L,11,04216418,NSE,0.676794186394552
L,11,04216418,KGE,0.586103174528296
L,11,04216418,logNSE,0.8160133039709063
L,11,04221000,NSE,0.8035193666478282
L,11,04221000,KGE,0.8410807497785919
L,11,04221000,logNSE,0.7686513444072494
L,11,04224775,NSE,0.7174945696869413
L,11,04224775,KGE,0.7780033188904842
L,11,04224775,logNSE,0.7626429139456637
L,11,04233000,NSE,0.6378972979472151
L,11,04233000,KGE,0.640035627453663
L,11,04233000,logNSE,0.6308683992834564
L,11,04256000,NSE,0.7213058494885879
L,11,04256000,KGE,0.6952874322684515
L,11,04256000,logNSE,0.8403134883840904
L,11,04296000,NSE,0.5414363690950952
L,11,04296000,KGE,0.7771703299537442
L,11,04296000,logNSE,0.7777183645577543
L,13,01030500,NSE,0.77520783278286
L,13,01030500,KGE,0.6844571276952336
L,13,01030500,logNSE,0.8431297364083955
L,13,01031500,NSE,0.7500219453396021
L,13,01031500,KGE,0.6880605282847688
L,13,01031500,logNSE,0.8592478540966729
L,13,01047000,NSE,0.8040519339631905
L,13,01047000,KGE,0.7038084715387781
L,13,01047000,logNSE,0.8465890523133135
L,13,01052500,NSE,0.7192883944026667
L,13,01052500,KGE,0.8198794601931803
L,13,01052500,logNSE,0.7498111578287001
L,13,01054200,NSE,0.5745523679656621
L,13,01054200,KGE,0.7050624008229063
L,13,01054200,logNSE,0.7688284478648297
L,13,01055000,NSE,0.6588662012944884
L,13,01055000,KGE,0.6924985590379129
L,13,01055000,logNSE,0.723198595906152
L,13,01057000,NSE,0.6940773305273272
L,13,01057000,KGE,0.8371622533852845
L,13,01057000,logNSE,0.8315207469625612
L,13,01078000,NSE,0.7775843927718971
L,13,01078000,KGE,0.8036448471664283
L,13,01078000,logNSE,0.8502395575079229
L,13,01134500,NSE,0.7128911978901111
L,13,01134500,KGE,0.7545092791566254
L,13,01134500,logNSE,0.7964316822888622
L,13,01137500,NSE,0.6463781267448161
L,13,01137500,KGE,0.7674045250495026
L,13,01137500,logNSE,0.7719880634640124
L,13,01139000,NSE,0.6082797392628229
L,13,01139000,KGE,0.8075819244697412
L,13,01139000,logNSE,0.7350695193189808
L,13,01139800,NSE,0.6511677369817463
L,13,01139800,KGE,0.6877411753358029
L,13,01139800,logNSE,0.7410435526598491
L,13,01142500,NSE,0.6745122934880571
L,13,01142500,KGE,0.7615921281104698
L,13,01142500,logNSE,0.7836887756819404
L,13,01144000,NSE,0.7756817984787768
L,13,01144000,KGE,0.8165968936791178
L,13,01144000,logNSE,0.8353349069508633
L,13,01169000,NSE,0.5925673070347435
L,13,01169000,KGE,0.5283757047180508
L,13,01169000,logNSE,0.7204004909011881
L,13,01181000,NSE,0.5219339285907837
L,13,01181000,KGE,0.4803887827049452
L,13,01181000,logNSE,0.8533893151882548
L,13,01187300,NSE,0.6295540826342617
L,13,01187300,KGE,0.7725603365629801
L,13,01187300,logNSE,0.83550704284416
L,13,01333000,NSE,0.5183496426267986
L,13,01333000,KGE,0.616274058815081
L,13,01333000,logNSE,0.7352044664197506
L,13,01350000,NSE,0.74969747017116
L,13,01350000,KGE,0.8413521420784118
L,13,01350000,logNSE,0.8091035781803261
L,13,01350080,NSE,-0.04213276320741066
L,13,01350080,KGE,0.3244242481540467
L,13,01350080,logNSE,0.7264004103349805
L,13,01350140,NSE,0.2447557210869279
